PARAMS: {'dataset': 'housing', 'dominant_gene': 1, 'genome_type': 0, 'mutation_p': 10, 'pop_size': 30, 'elitism_portion': 0.2, 'fitness_loss_weight': 1, 'fitness_epoch_count_weight': 0.1}
evolutionary_step,best_fitness,min_loss,convergence_time,best_genotype
0,0.027212466705929146,0.029933713376522064,0,[0.7537513539224368, [6, 3, 4, 8, 2, 7, 2], 64, [0.3258473297747443, 0.11183442624387063, 0.3994527329977261, 0.16635825304814805, 0.3682692354126389, 0.21335107112281804, 0.14713094062358684], ['softplus', 'linear', 'softplus', 'linear', 'softplus', 'linear', 'relu'], 0.7069657893719139]
1,0.002141636584631421,0.0023558002430945635,0,[0.017658914381908457, [7, 8, 7, 8, 3, 2], 512, [0.00796180179470829, 0.41509300313338976, 0.09526133532364489, 0.2152802598092644, 0.3632506264983985, 0.28192553261238024], ['linear', 'relu', 'leaky_relu', 'leaky_relu', 'leaky_relu', 'relu'], 0.7874281185012317]
2,0.000815379052338275,0.0008969169575721025,0,[0.037416142258266165, [6, 6, 4, 6], 4, [0.22596605367031541, 0.034018229408451006, 0.16476014397827787, 0.2269851613518971], ['relu', 'leaky_relu', 'linear', 'linear'], 0.506105579221312]
3,0.09143259912856262,0.0005758590414188802,1,[0.011086427983755892, [5], 512, [0.10206367532612143], ['softplus'], 0.7337505906378416]
4,0.0032369680279357863,0.0035606648307293653,0,[0.037416142258266165, [6, 3, 4, 8, 2, 7, 2], 64, [0.033807944510824584, 0.3978247953906418, 0.015841754389803342, 0.2956726090485575, 0.09759017470321446, 0.22312789447657877, 0.3679066538028944], ['leaky_relu', 'leaky_relu', 'softplus', 'linear', 'leaky_relu', 'leaky_relu', 'linear'], 0.506105579221312]
5,0.0009462940083308653,0.0010409234091639519,0,[0.037416142258266165, [3], 4, [0.3663394234828474], ['relu'], 0.6094792496601834]
6,0.0007345004599880087,0.0008079505059868097,0,[0.06466812237401158, [8], 2, [0.39587891886751364], ['relu'], 0.5790448057672353]
7,0.0008055114779960024,0.0008860626257956028,0,[0.037416142258266165, [4, 3], 32, [0.22596605367031541, 0.034018229408451006], ['leaky_relu', 'leaky_relu'], 0.6352794199541315]
8,0.000860451254993677,0.0009464963804930449,0,[0.017658914381908457, [6, 7, 8, 2, 2, 3], 4, [0.09746055926440039, 0.09746055926440039, 0.09746055926440039, 0.09746055926440039, 0.09746055926440039, 0.09746055926440039], ['relu', 'relu', 'relu', 'relu', 'relu', 'relu'], 0.6094792496601834]
9,0.0006984145147725939,0.0007682559662498534,0,[0.037416142258266165, [3], 16, [0.08669719664698422], ['relu'], 0.5393356487669312]
10,0.000685654284263199,0.0007542197126895189,0,[0.06466812237401158, [8], 2, [0.39587891886751364], ['relu'], 0.886147422616204]
11,0.0009093561675399541,0.0010002917842939496,0,[0.2502747352300841, [3], 8, [0.4993586308424119], ['relu'], 0.6645816101869108]
12,0.0008209312694485891,0.0009030243963934481,0,[0.10163833830102395, [2], 4, [0.37836933985536847], ['relu'], 0.6645816101869108]
13,0.0008878094906156713,0.0009765904396772385,0,[0.037416142258266165, [3, 6, 4, 5, 7, 7, 5], 4, [0.1522816380538879, 0.17507774852372487, 0.23240253318881154, 0.37470882169897773, 0.26975193179178947, 0.2616364905725983, 0.17856959451738524], ['relu', 'relu', 'relu', 'relu', 'relu', 'relu', 'relu'], 0.567451083995099]
14,0.0008424933449449864,0.0009267426794394851,0,[0.011086427983755892, [2], 4, [0.37836933985536847], ['softplus'], 0.6645816101869108]
15,0.0007099439178339459,0.0007809383096173406,0,[0.2502747352300841, [2], 16, [0.11724489228145163], ['leaky_relu'], 0.7878502959417861]
16,0.0008468488125469196,0.0009315336938016117,0,[0.2502747352300841, [2], 256, [0.11724489228145163], ['leaky_relu'], 0.7148743360374872]
17,0.0007734238170087336,0.0008507661987096071,0,[0.011086427983755892, [2], 4, [0.09819287004132349], ['relu'], 0.8578403400380139]
18,0.0008728802839124744,0.0009601683123037219,0,[0.011086427983755892, [2], 4, [0.3839181890320715], ['relu'], 0.6645816101869108]
19,0.0008368755119260061,0.0009205630631186068,0,[0.09964259296307627, [5], 4, [0.20931244470887073], ['relu'], 0.7304082399773693]

EVOLUTION ENDED

Optimal genes: [0.06466812237401158, [8], 2, [0.39587891886751364], ['relu'], 0.886147422616204]           
Optimal fitness: 0.000685654284263199                 
